security_ticker,market_ticker,event_date
AAPL.O,.IXIC,01/24/2012
AAPL.O,.IXIC,03/13/2012
AAPL.O,.IXIC,04/24/2012
AAPL.O,.IXIC,06/19/2012
AAPL.O,.IXIC,07/31/2012
AAPL.O,.IXIC,09/12/2012
AAPL.O,.IXIC,10/23/2012
AAPL.O,.IXIC,12/11/2012
AAPL.O,.IXIC,01/29/2013
AAPL.O,.IXIC,03/19/2013
AAPL.O,.IXIC,04/30/2013
AAPL.O,.IXIC,06/18/2013
AAPL.O,.IXIC,07/30/2013
AAPL.O,.IXIC,09/17/2013
AAPL.O,.IXIC,10/16/2013
AAPL.O,.IXIC,10/29/2013
AAPL.O,.IXIC,12/17/2013
AAPL.O,.IXIC,01/28/2014
AAPL.O,.IXIC,03/04/2014
AAPL.O,.IXIC,03/18/2014
AAPL.O,.IXIC,04/29/2014
AAPL.O,.IXIC,06/17/2014
AAPL.O,.IXIC,07/29/2014
AAPL.O,.IXIC,09/16/2014
AAPL.O,.IXIC,10/28/2014
AAPL.O,.IXIC,12/16/2014
AAPL.O,.IXIC,01/27/2015
AAPL.O,.IXIC,03/17/2015
AAPL.O,.IXIC,04/28/2015
AAPL.O,.IXIC,06/16/2015
AAPL.O,.IXIC,07/28/2015
AAPL.O,.IXIC,09/16/2015
AAPL.O,.IXIC,10/27/2015
AAPL.O,.IXIC,12/15/2015
AAPL.O,.IXIC,01/26/2016
AAPL.O,.IXIC,03/15/2016
AAPL.O,.IXIC,04/26/2016
AAPL.O,.IXIC,06/14/2016
AAPL.O,.IXIC,07/26/2016
AAPL.O,.IXIC,09/20/2016
AAPL.O,.IXIC,11/01/2016
AAPL.O,.IXIC,12/13/2016
AAPL.O,.IXIC,01/31/2017
AAPL.O,.IXIC,03/14/2017
AAPL.O,.IXIC,05/02/2017
AAPL.O,.IXIC,06/13/2017
AAPL.O,.IXIC,07/25/2017
AAPL.O,.IXIC,09/19/2017
AAPL.O,.IXIC,10/31/2017
AAPL.O,.IXIC,12/12/2017
AAPL.O,.IXIC,01/30/2018
AAPL.O,.IXIC,03/20/2018
AAPL.O,.IXIC,05/01/2018
AAPL.O,.IXIC,06/12/2018
AAPL.O,.IXIC,07/31/2018
AAPL.O,.IXIC,11/07/2018
AAPL.O,.IXIC,12/18/2018
AAPL.O,.IXIC,01/29/2019
AAPL.O,.IXIC,03/19/2019
AAPL.O,.IXIC,04/30/2019
AAPL.O,.IXIC,06/18/2019
AAPL.O,.IXIC,07/30/2019
AAPL.O,.IXIC,09/17/2019
AAPL.O,.IXIC,10/04/2019
AAPL.O,.IXIC,10/29/2019
AAPL.O,.IXIC,12/10/2019
AAPL.O,.IXIC,01/28/2020
AAPL.O,.IXIC,03/03/2020
AAPL.O,.IXIC,03/15/2020
AAPL.O,.IXIC,03/17/2020
AAPL.O,.IXIC,03/23/2020
AAPL.O,.IXIC,04/28/2020
AAPL.O,.IXIC,06/09/2020
AAPL.O,.IXIC,07/28/2020
AAPL.O,.IXIC,08/26/2020
AAPL.O,.IXIC,09/15/2020
AAPL.O,.IXIC,11/04/2020
AAPL.O,.IXIC,12/15/2020
AAPL.O,.IXIC,01/26/2021
AAPL.O,.IXIC,03/16/2021
AAPL.O,.IXIC,04/27/2021
AAPL.O,.IXIC,06/15/2021
AAPL.O,.IXIC,07/27/2021
AAPL.O,.IXIC,09/21/2021
AAPL.O,.IXIC,11/02/2021
AAPL.O,.IXIC,12/14/2021
MSFT.O,.IXIC,01/24/2012
MSFT.O,.IXIC,03/13/2012
MSFT.O,.IXIC,04/24/2012
MSFT.O,.IXIC,06/19/2012
MSFT.O,.IXIC,07/31/2012
MSFT.O,.IXIC,09/12/2012
MSFT.O,.IXIC,10/23/2012
MSFT.O,.IXIC,12/11/2012
MSFT.O,.IXIC,01/29/2013
MSFT.O,.IXIC,03/19/2013
MSFT.O,.IXIC,04/30/2013
MSFT.O,.IXIC,06/18/2013
MSFT.O,.IXIC,07/30/2013
MSFT.O,.IXIC,09/17/2013
MSFT.O,.IXIC,10/16/2013
MSFT.O,.IXIC,10/29/2013
MSFT.O,.IXIC,12/17/2013
MSFT.O,.IXIC,01/28/2014
MSFT.O,.IXIC,03/04/2014
MSFT.O,.IXIC,03/18/2014
MSFT.O,.IXIC,04/29/2014
MSFT.O,.IXIC,06/17/2014
MSFT.O,.IXIC,07/29/2014
MSFT.O,.IXIC,09/16/2014
MSFT.O,.IXIC,10/28/2014
MSFT.O,.IXIC,12/16/2014
MSFT.O,.IXIC,01/27/2015
MSFT.O,.IXIC,03/17/2015
MSFT.O,.IXIC,04/28/2015
MSFT.O,.IXIC,06/16/2015
MSFT.O,.IXIC,07/28/2015
MSFT.O,.IXIC,09/16/2015
MSFT.O,.IXIC,10/27/2015
MSFT.O,.IXIC,12/15/2015
MSFT.O,.IXIC,01/26/2016
MSFT.O,.IXIC,03/15/2016
MSFT.O,.IXIC,04/26/2016
MSFT.O,.IXIC,06/14/2016
MSFT.O,.IXIC,07/26/2016
MSFT.O,.IXIC,09/20/2016
MSFT.O,.IXIC,11/01/2016
MSFT.O,.IXIC,12/13/2016
MSFT.O,.IXIC,01/31/2017
MSFT.O,.IXIC,03/14/2017
MSFT.O,.IXIC,05/02/2017
MSFT.O,.IXIC,06/13/2017
MSFT.O,.IXIC,07/25/2017
MSFT.O,.IXIC,09/19/2017
MSFT.O,.IXIC,10/31/2017
MSFT.O,.IXIC,12/12/2017
MSFT.O,.IXIC,01/30/2018
MSFT.O,.IXIC,03/20/2018
MSFT.O,.IXIC,05/01/2018
MSFT.O,.IXIC,06/12/2018
MSFT.O,.IXIC,07/31/2018
MSFT.O,.IXIC,11/07/2018
MSFT.O,.IXIC,12/18/2018
MSFT.O,.IXIC,01/29/2019
MSFT.O,.IXIC,03/19/2019
MSFT.O,.IXIC,04/30/2019
MSFT.O,.IXIC,06/18/2019
MSFT.O,.IXIC,07/30/2019
MSFT.O,.IXIC,09/17/2019
MSFT.O,.IXIC,10/04/2019
MSFT.O,.IXIC,10/29/2019
MSFT.O,.IXIC,12/10/2019
MSFT.O,.IXIC,01/28/2020
MSFT.O,.IXIC,03/03/2020
MSFT.O,.IXIC,03/15/2020
MSFT.O,.IXIC,03/17/2020
MSFT.O,.IXIC,03/23/2020
MSFT.O,.IXIC,04/28/2020
MSFT.O,.IXIC,06/09/2020
MSFT.O,.IXIC,07/28/2020
MSFT.O,.IXIC,08/26/2020
MSFT.O,.IXIC,09/15/2020
